,,,,,,,
Table Name,Focus Area,"Data Source 
( Redshift: Stage, Temp, DM, Spectrum...)",Business Critical,Business Purpose & Insights Driven,Key Metrics,Key Dimensions,"Joins
( Join to other Key Tables)"
D_CUSTOMER_PLAN_360,Customer and Marketing Analytics,DMT,High,"all the classic and FS member , plan information.

Table tracks the sign up and all the subsequent reactivation information for a customer through plan and sub_plan_rank


","New Members
Cancels
","funnel SKU List (POE)
Sub_Plan_Rank
Member Status
Plan Start Date
Plan End Date
BM_TYPE
Plan_Conversion_Source
Churn_Type
Cancel_Reason, Prev_type","F_INVOICE ON CUSTOMER_ID

F_INVOICE_PRODUCT ON CUSTOMER_ID

RPT_MEMBER ON CUSTOMER_ID

ADOBE_VISIT_SUMMARY ON ( post_visid_high,post_visid_low)"
D_CUSTOMER_360,Customer and Marketing Analytics,DMT,High,"We pull frequency and plan information from this table, as well as original cohort start month","Frequency,  POE, Cohort, Migrated/Not-Migrated","Initial_plan_frequency, initial_funnel_sku_lsit, first_customer_subscription_start_date_time, initial_plan_plan_start_at, plan_conversion_source, current_plan_bills_at, current_subscription_frequency, initial plan frequency, current plan frequency",CUSTOMER_ID
F_INVOICE,Customer and Marketing Analytics,DMT,High,This table contains spend information,Revenue,"amount_true, shipment_shipped_at, shipment_created_at, business_model_filter, order_attribution_attribution_type, count shipment_id",CUSTOMER_ID
TEST_CUSTOMERS,Customer and Marketing Analytics,STG,High,This table identifies test customer ids that need to be removed from reporting,Test Customer Identification,CUSTOMER_ID,CUSTOMER_ID
V_CUSTOMER_AXCIOM,Demographics,DMT,High,This table contains all the demographic information from Axciom,"Age, Gender, Income, Etc.","age_in_two_year_increments_input_individual_8626, gender_input_indiviaul_8688, income_estimated_household_8641",CUSTOMER_ID
VISIT_LEVEL_GETSTARTEDCOMPLETE_PAGE_METADATA,Web Analytics,TMP,High,This table pulls in metadata to show the pages the customer saw in the checkout flow,Page seen prior to checkoukt,PRIOR_URL,"Post Visid High, Post Visid Low, Visit Num, Visit Start Time Gmt Epoch"
BOX_CONFIGURATION,Customer and Marketing Analytics,TMP,High,This table shows the contents of the customer's first box,Box contents,box_config_name,CUSTOMER_ID
F_INVOICE_PRODUCT,Product Analytics,DMT,High,This table contains products associated with each order as well as quantity and unit price,"Quantity, gross rev, net rev","name, product_sku","PRODUCT_ID, ORDER_ID"
D_PRODUCT,Product Analytics,DMT,High,Product detail for each SKU,n/a,"product_category, name, internal_name, SKU",PRODUCT_ID
RPT_EMAIL_SUMMARY,CRM Analytics,DMT,High,Email campaign send data with high level email metrics,"Sends, Opens, Clicks","campaign name, send date","PK_HASH, CAMPAIGN_ID"
